Country,Time,Balance,Product,Value,Unit
Australia,26-Jan,Net Electricity Production,Electricity,24289.2124,GWh
Australia,26-Jan,Net Electricity Production,Hydro,943.0563,GWh
Australia,26-Jan,Net Electricity Production,Total Combustible Fuels,13071.0551,GWh
Australia,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",9366.8997,GWh
Australia,26-Jan,Net Electricity Production,Oil and Petroleum Products,315.5568,GWh
Australia,26-Jan,Net Electricity Production,Natural Gas,3172.5628,GWh
Australia,26-Jan,Net Electricity Production,Combustible Renewables,216.0359,GWh
Australia,26-Jan,Net Electricity Production,Solar,6571.2852,GWh
Australia,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",11434.1932,GWh
Australia,26-Jan,Used for pumped storage,Electricity,95.455,GWh
Australia,26-Jan,Distribution Losses,Electricity,1223.051,GWh
Australia,26-Jan,Final Consumption (Calculated),Electricity,22970.7064,GWh
Australia,26-Jan,Net Electricity Production,Wind,3703.8157,GWh
Austria,26-Jan,Net Electricity Production,Electricity,5778.3238,GWh
Austria,26-Jan,Net Electricity Production,Hydro,1968.3756,GWh
Austria,26-Jan,Net Electricity Production,Total Combustible Fuels,2586.4613,GWh
Austria,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",154.6461,GWh
Austria,26-Jan,Net Electricity Production,Oil and Petroleum Products,59.4243,GWh
Austria,26-Jan,Net Electricity Production,Natural Gas,1886.0994,GWh
Austria,26-Jan,Net Electricity Production,Combustible Renewables,397.7911,GWh
Austria,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,88.5003,GWh
Austria,26-Jan,Net Electricity Production,Solar,473.6295,GWh
Austria,26-Jan,Net Electricity Production,Not Specified,0.7321,GWh
Austria,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3588.9215,GWh
Austria,26-Jan,Total Imports,Electricity,3131.4278,GWh
Austria,26-Jan,Total Exports,Electricity,1517.0519,GWh
Austria,26-Jan,Used for pumped storage,Electricity,484.6091,GWh
Austria,26-Jan,Distribution Losses,Electricity,339.8937,GWh
Austria,26-Jan,Final Consumption (Calculated),Electricity,6568.1969,GWh
Austria,26-Jan,Net Electricity Production,Wind,749.1252,GWh
Belgium,26-Jan,Net Electricity Production,Electricity,6786.6109,GWh
Belgium,26-Jan,Net Electricity Production,Nuclear,1531.4663,GWh
Belgium,26-Jan,Net Electricity Production,Hydro,109.3102,GWh
Belgium,26-Jan,Net Electricity Production,Total Combustible Fuels,3377.8487,GWh
Belgium,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",189.0651,GWh
Belgium,26-Jan,Net Electricity Production,Oil and Petroleum Products,20.0275,GWh
Belgium,26-Jan,Net Electricity Production,Natural Gas,2763.6953,GWh
Belgium,26-Jan,Net Electricity Production,Combustible Renewables,324.7005,GWh
Belgium,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,80.3603,GWh
Belgium,26-Jan,Net Electricity Production,Solar,274.2945,GWh
Belgium,26-Jan,Net Electricity Production,Not Specified,28.3061,GWh
Belgium,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2173.6904,GWh
Belgium,26-Jan,Total Imports,Electricity,2554.3217,GWh
Belgium,26-Jan,Total Exports,Electricity,1120.1056,GWh
Belgium,26-Jan,Used for pumped storage,Electricity,87.3609,GWh
Belgium,26-Jan,Distribution Losses,Electricity,321.1532,GWh
Belgium,26-Jan,Final Consumption (Calculated),Electricity,7812.3129,GWh
Belgium,26-Jan,Net Electricity Production,Wind,1465.3851,GWh
Canada,26-Jan,Net Electricity Production,Electricity,65233.5685,GWh
Canada,26-Jan,Net Electricity Production,Nuclear,7281.0972,GWh
Canada,26-Jan,Net Electricity Production,Hydro,36991.0937,GWh
Canada,26-Jan,Net Electricity Production,Total Combustible Fuels,14836.789,GWh
Canada,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",1532.9016,GWh
Canada,26-Jan,Net Electricity Production,Oil and Petroleum Products,513.1474,GWh
Canada,26-Jan,Net Electricity Production,Natural Gas,11707.5807,GWh
Canada,26-Jan,Net Electricity Production,Combustible Renewables,1068.9695,GWh
Canada,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,14.1899,GWh
Canada,26-Jan,Net Electricity Production,Solar,250.3179,GWh
Canada,26-Jan,Net Electricity Production,Not Specified,26,GWh
Canada,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",44158.6517,GWh
Canada,26-Jan,Total Imports,Electricity,2617.0619,GWh
Canada,26-Jan,Total Exports,Electricity,3496.2601,GWh
Canada,26-Jan,Used for pumped storage,Electricity,22.6118,GWh
Canada,26-Jan,Distribution Losses,Electricity,2981.7121,GWh
Canada,26-Jan,Final Consumption (Calculated),Electricity,61350.0465,GWh
Canada,26-Jan,Net Electricity Production,Wind,5848.2707,GWh
