Task,Run,Algorithm,Iteration,ValidationRMSE
Denmark Wind,1,CCO,1,439.2673410065902
Denmark Wind,1,CCO,2,366.5753247969645
Denmark Wind,1,CCO,3,343.9042949172051
Denmark Wind,1,CCO,4,343.9042949172051
Denmark Wind,1,CCO,5,343.9042949172051
Denmark Wind,1,CCO,6,343.2265446283256
Denmark Wind,1,CCO,7,330.57099039011274
Denmark Wind,1,CCO,8,330.57099039011274
Denmark Wind,1,CCO,9,330.57099039011274
Denmark Wind,1,CCO,10,330.57099039011274
Denmark Wind,1,CCO,11,330.57099039011274
Denmark Wind,1,CCO,12,330.57099039011274
Denmark Wind,1,CCO,13,330.57099039011274
Denmark Wind,1,CCO,14,328.96367818119376
Denmark Wind,1,CCO,15,328.96367818119376
Denmark Wind,2,GA,0,454.7957474240497
Denmark Wind,2,GA,1,454.7957474240497
Denmark Wind,2,GA,2,454.7957474240497
Denmark Wind,2,GA,3,454.7957474240497
Denmark Wind,2,GA,4,454.7957474240497
Denmark Wind,2,GA,5,454.6424591093533
Denmark Wind,2,GA,6,453.37801556758353
Denmark Wind,2,GA,7,453.37801556758353
Denmark Wind,2,GA,8,453.3056708778305
Denmark Wind,2,GA,9,453.2176457012679
Denmark Wind,2,GA,10,450.95722843192124
Denmark Wind,2,GA,11,446.75
Denmark Wind,2,GA,12,446.75
Denmark Wind,2,GA,13,446.75
Denmark Wind,2,GA,14,373.02632698644743
Denmark Wind,2,GA,15,354.332526114242
Denmark Wind,2,PSO,0,445.92419829495685
Denmark Wind,2,PSO,1,445.92419829495685
Denmark Wind,2,PSO,2,337.35598779331013
Denmark Wind,2,PSO,3,328.532235385662
Denmark Wind,2,PSO,4,328.4015263362824
Denmark Wind,2,PSO,5,328.4015263362824
Denmark Wind,2,PSO,6,324.83701442030895
Denmark Wind,2,PSO,7,324.83701442030895
Denmark Wind,2,PSO,8,324.83701442030895
Denmark Wind,2,PSO,9,324.01345458175035
Denmark Wind,2,PSO,10,324.01345458175035
Denmark Wind,2,PSO,11,324.01345458175035
Denmark Wind,2,PSO,12,324.01345458175035
Denmark Wind,2,PSO,13,324.01345458175035
Denmark Wind,2,PSO,14,324.01345458175035
Denmark Wind,2,PSO,15,324.01345458175035
Denmark Wind,2,CCO,0,445.92419829495685
Denmark Wind,2,CCO,1,445.92419829495685
Denmark Wind,2,CCO,2,367.7026014661849
Denmark Wind,2,CCO,3,367.7026014661849
Denmark Wind,2,CCO,4,358.6250653537758
Denmark Wind,2,CCO,5,346.57161281977494
Denmark Wind,2,CCO,6,335.10050964225644
Denmark Wind,2,CCO,7,335.10050964225644
Denmark Wind,2,CCO,8,324.60275000760544
Denmark Wind,2,CCO,9,324.60275000760544
Denmark Wind,2,CCO,10,324.60275000760544
Denmark Wind,2,CCO,11,322.9365262710305
Denmark Wind,2,CCO,12,322.9365262710305
Denmark Wind,2,CCO,13,322.9365262710305
Denmark Wind,2,CCO,14,321.3911290196106
Denmark Wind,2,CCO,15,321.3911290196106
Denmark Wind,3,GA,0,442.01309723242366
Denmark Wind,3,GA,1,442.01309723242366
Denmark Wind,3,GA,2,369.9751047367917
Denmark Wind,3,GA,3,365.00256848411357
Denmark Wind,3,GA,4,365.00256848411357
Denmark Wind,3,GA,5,344.2355434509923
Denmark Wind,3,GA,6,330.00363397620333
Denmark Wind,3,GA,7,330.00363397620333
Denmark Wind,3,GA,8,323.5236660586054
Denmark Wind,3,GA,9,322.91723252638593
Denmark Wind,3,GA,10,322.91723252638593
Denmark Wind,3,GA,11,322.84445025817
Denmark Wind,3,GA,12,321.18411289321267
Denmark Wind,3,GA,13,321.18411289321267
Denmark Wind,3,GA,14,321.18411289321267
Denmark Wind,3,GA,15,321.18411289321267
Denmark Wind,3,PSO,0,454.00289095995856
Denmark Wind,3,PSO,1,449.06247825330496
Denmark Wind,3,PSO,2,449.06247825330496
Denmark Wind,3,PSO,3,444.8941236406703
Denmark Wind,3,PSO,4,443.8258385898685
Denmark Wind,3,PSO,5,370.97251835547064
Denmark Wind,3,PSO,6,349.062393688435
Denmark Wind,3,PSO,7,349.062393688435
Denmark Wind,3,PSO,8,338.85262513738917
Denmark Wind,3,PSO,9,338.59528293377036
Denmark Wind,3,PSO,10,330.1465701964811
Denmark Wind,3,PSO,11,330.1465701964811
Denmark Wind,3,PSO,12,330.1129896527854
Denmark Wind,3,PSO,13,330.1129896527854
Denmark Wind,3,PSO,14,330.1129896527854
Denmark Wind,3,PSO,15,330.1129896527854
Denmark Wind,3,CCO,0,454.00289095995856
Denmark Wind,3,CCO,1,454.00289095995856
Denmark Wind,3,CCO,2,343.2668195077992
Denmark Wind,3,CCO,3,333.61247166435487
Denmark Wind,3,CCO,4,333.61247166435487
Denmark Wind,3,CCO,5,327.9076303816366
Denmark Wind,3,CCO,6,327.9076303816366
Denmark Wind,3,CCO,7,327.9076303816366
Denmark Wind,3,CCO,8,327.19457370576913
Denmark Wind,3,CCO,9,327.19457370576913
Denmark Wind,3,CCO,10,327.19457370576913
Denmark Wind,3,CCO,11,327.1619319045234
Denmark Wind,3,CCO,12,327.1619319045234
Denmark Wind,3,CCO,13,324.74918206209543
Denmark Wind,3,CCO,14,324.74918206209543
Denmark Wind,3,CCO,15,324.74918206209543
Denmark Solar,1,GA,0,63.889046813474806
Denmark Solar,1,GA,1,44.436693744883435
Denmark Solar,1,GA,2,44.436693744883435
Denmark Solar,1,GA,3,44.436693744883435
Denmark Solar,1,GA,4,44.436693744883435
Denmark Solar,1,GA,5,44.436693744883435
Denmark Solar,1,GA,6,44.436693744883435
Denmark Solar,1,GA,7,44.436693744883435
Denmark Solar,1,GA,8,44.436693744883435
Denmark Solar,1,GA,9,44.436693744883435
Denmark Solar,1,GA,10,44.436693744883435
Denmark Solar,1,GA,11,42.59799421719437
Denmark Solar,1,GA,12,42.59799421719437
Denmark Solar,1,GA,13,42.59799421719437
Denmark Solar,1,GA,14,42.59799421719437
Denmark Solar,1,GA,15,42.59799421719437
Denmark Solar,1,PSO,0,58.53036363116904
Denmark Solar,1,PSO,1,56.76281002172549
Denmark Solar,1,PSO,2,56.76281002172549
Denmark Solar,1,PSO,3,56.76281002172549
Denmark Solar,1,PSO,4,56.00331105934162
Denmark Solar,1,PSO,5,56.00331105934162
Denmark Solar,1,PSO,6,46.738971898626794
Denmark Solar,1,PSO,7,46.738971898626794
Denmark Solar,1,PSO,8,46.738971898626794
Denmark Solar,1,PSO,9,46.738971898626794
Denmark Solar,1,PSO,10,45.76533426418406
Denmark Solar,1,PSO,11,45.20593746651608
Denmark Solar,1,PSO,12,43.907395447691954
Denmark Solar,1,PSO,13,43.62407099655533
Denmark Solar,1,PSO,14,43.57663614568519
Denmark Solar,1,PSO,15,43.50566257145442
Denmark Solar,1,CCO,0,58.53036363116904
Denmark Solar,1,CCO,1,49.036358481488
Denmark Solar,1,CCO,2,49.036358481488
Denmark Solar,1,CCO,3,49.036358481488
Denmark Solar,1,CCO,4,49.036358481488
Denmark Solar,1,CCO,5,49.036358481488
Denmark Solar,1,CCO,6,49.036358481488
Denmark Solar,1,CCO,7,49.036358481488
Denmark Solar,1,CCO,8,48.428726523979286
Denmark Solar,1,CCO,9,48.21790190845227
Denmark Solar,1,CCO,10,47.07078643433605
Denmark Solar,1,CCO,11,47.07078643433605
Denmark Solar,1,CCO,12,47.07078643433605
Denmark Solar,1,CCO,13,45.59258266154704
Denmark Solar,1,CCO,14,41.241579988185165
Denmark Solar,1,CCO,15,41.241579988185165
Denmark Solar,2,GA,0,66.53717608060361
Denmark Solar,2,GA,1,44.940401071168694
Denmark Solar,2,GA,2,44.940401071168694
Denmark Solar,2,GA,3,44.940401071168694
Denmark Solar,2,GA,4,44.940401071168694
Denmark Solar,2,GA,5,44.940401071168694
Denmark Solar,2,GA,6,42.50354563564741
Denmark Solar,2,GA,7,42.50354563564741
Denmark Solar,2,GA,8,42.50354563564741
Denmark Solar,2,GA,9,42.50354563564741
Denmark Solar,2,GA,10,42.50354563564741
Denmark Solar,2,GA,11,42.36206505429194
Denmark Solar,2,GA,12,42.36206505429194
Denmark Solar,2,GA,13,42.36206505429194
Denmark Solar,2,GA,14,42.36206505429194
Denmark Solar,2,GA,15,42.36206505429194
Denmark Solar,2,PSO,0,71.58236623813158
Denmark Solar,2,PSO,1,71.58236623813158
Denmark Solar,2,PSO,2,62.90260561350976
Denmark Solar,2,PSO,3,61.73773639924876
Denmark Solar,2,PSO,4,54.439062926042595
Denmark Solar,2,PSO,5,54.439062926042595
Denmark Solar,2,PSO,6,54.439062926042595
Denmark Solar,2,PSO,7,54.439062926042595
Denmark Solar,2,PSO,8,54.439062926042595
Denmark Solar,2,PSO,9,54.439062926042595
Denmark Solar,2,PSO,10,54.439062926042595
Denmark Solar,2,PSO,11,53.61123302667665
Denmark Solar,2,PSO,12,53.61123302667665
Denmark Solar,2,PSO,13,53.61123302667665
Denmark Solar,2,PSO,14,53.61123302667665
Denmark Solar,2,PSO,15,53.61123302667665
Denmark Solar,2,CCO,0,71.58236623813158
Denmark Solar,2,CCO,1,71.58236623813158
Denmark Solar,2,CCO,2,70.24418556342404
Denmark Solar,2,CCO,3,62.955257937309135
Denmark Solar,2,CCO,4,62.178613136999324
Denmark Solar,2,CCO,5,60.07499991872139
Denmark Solar,2,CCO,6,54.461163323481024
Denmark Solar,2,CCO,7,54.461163323481024
Denmark Solar,2,CCO,8,54.461163323481024
Denmark Solar,2,CCO,9,54.461163323481024
Denmark Solar,2,CCO,10,50.696332846296684
Denmark Solar,2,CCO,11,50.696332846296684
Denmark Solar,2,CCO,12,50.696332846296684
Denmark Solar,2,CCO,13,50.696332846296684
Denmark Solar,2,CCO,14,50.696332846296684
Denmark Solar,2,CCO,15,50.696332846296684
Denmark Solar,3,GA,0,66.57939559630104
Denmark Solar,3,GA,1,66.57939559630104
Denmark Solar,3,GA,2,52.554900609981175
Denmark Solar,3,GA,3,52.554900609981175
Denmark Solar,3,GA,4,52.554900609981175
Denmark Solar,3,GA,5,52.554900609981175
Denmark Solar,3,GA,6,52.554900609981175
Denmark Solar,3,GA,7,52.554900609981175
Denmark Solar,3,GA,8,52.554900609981175
Denmark Solar,3,GA,9,52.554900609981175
Denmark Solar,3,GA,10,50.41087044849553
Denmark Solar,3,GA,11,47.336318517405324
Denmark Solar,3,GA,12,47.336318517405324
Denmark Solar,3,GA,13,47.336318517405324
Denmark Solar,3,GA,14,47.336318517405324
Denmark Solar,3,GA,15,47.336318517405324
Denmark Solar,3,PSO,0,66.49134988383827
Denmark Solar,3,PSO,1,64.62847548681619
Denmark Solar,3,PSO,2,56.61284016788947
Denmark Solar,3,PSO,3,55.932397637404655
Denmark Solar,3,PSO,4,55.932397637404655
Denmark Solar,3,PSO,5,52.92265693620739
Denmark Solar,3,PSO,6,52.92265693620739
Denmark Solar,3,PSO,7,52.92265693620739
Denmark Solar,3,PSO,8,52.92265693620739
Denmark Solar,3,PSO,9,49.079037817840316
Denmark Solar,3,PSO,10,49.079037817840316
Denmark Solar,3,PSO,11,49.079037817840316
Denmark Solar,3,PSO,12,49.079037817840316
Denmark Solar,3,PSO,13,49.079037817840316
Denmark Solar,3,PSO,14,49.079037817840316
Denmark Solar,3,PSO,15,49.079037817840316
Denmark Solar,3,CCO,0,66.49134988383827
Denmark Solar,3,CCO,1,66.49134988383827
Denmark Solar,3,CCO,2,66.49134988383827
Denmark Solar,3,CCO,3,64.23367755337732
Denmark Solar,3,CCO,4,60.23614013302147
Denmark Solar,3,CCO,5,60.23614013302147
Denmark Solar,3,CCO,6,60.23614013302147
Denmark Solar,3,CCO,7,60.23614013302147
Denmark Solar,3,CCO,8,55.55234018473029
Denmark Solar,3,CCO,9,53.24750122511619
Denmark Solar,3,CCO,10,53.2431613309693
Denmark Solar,3,CCO,11,46.86019297385442
Denmark Solar,3,CCO,12,46.86019297385442
Denmark Solar,3,CCO,13,45.07175810755833
Denmark Solar,3,CCO,14,44.81638428946773
Denmark Solar,3,CCO,15,44.81638428946773
