Task,Country,Product,Run,Algorithm,ValidationRMSE,TestRMSE,TestMAE,TestMAPE,BaselineRMSE,ImprovementVsBaselinePercent,HiddenUnits,Dropout,LearningRate,BatchSize,RuntimeSeconds
Spain Solar,Spain,Solar,2,CCO,430.6149127991273,556.1013565439307,473.66314697265625,10.816357612609863,882.1626479850527,36.96158437289069,96,0.4337,0.0029679738934834657,16,251.261798620224
Spain Solar,Spain,Solar,3,GA,424.74124475967716,701.7606874854133,615.0856323242188,16.04088020324707,882.1626479850527,20.449965877799904,96,0.3665,0.005111344712141644,32,175.31479477882385
Spain Solar,Spain,Solar,3,PSO,425.2145046914557,698.4276984770864,565.504638671875,12.614795684814453,882.1626479850527,20.82778611491148,112,0.1616,0.004315297086818917,32,198.93920397758484
Spain Solar,Spain,Solar,3,CCO,471.5857391556704,1062.824950309316,927.6804809570312,21.389793395996094,882.1626479850527,-20.479477649265007,24,0.1831,0.008526000075503708,16,132.73020839691162
Denmark Wind,Denmark,Wind,1,GA,324.2378684122199,325.8061276472559,252.84762573242188,15.634129524230957,367.715136858683,11.39714007137357,128,0.0469,0.002917776041314569,16,172.69715762138367
Denmark Wind,Denmark,Wind,1,PSO,331.58359381534547,340.5744801985316,259.0059814453125,15.913942337036133,367.715136858683,7.380891875164191,128,0.1912,0.0039171401133029525,16,158.6612434387207
Denmark Wind,Denmark,Wind,1,CCO,328.96367818119376,329.5563542476461,251.9137725830078,16.048288345336914,367.715136858683,10.37726728821114,160,0.2833,0.0033493599385569033,8,207.07953786849976
Denmark Wind,Denmark,Wind,2,GA,354.332526114242,321.23139537567,249.2206268310547,15.483875274658203,367.715136858683,12.641236877033226,120,0.2883,0.005494269567894422,32,84.92948746681213
Denmark Wind,Denmark,Wind,2,PSO,324.01345458175035,326.2015648912494,245.60916137695312,15.615592956542969,367.715136858683,11.289601054249703,96,0.3298,0.0038888867514327535,16,239.47711181640625
Denmark Wind,Denmark,Wind,2,CCO,321.3911290196106,324.2820917041211,249.21145629882812,15.680980682373047,367.715136858683,11.81160110122247,120,0.4124,0.0036320045060486902,16,165.11318826675415
Denmark Wind,Denmark,Wind,3,GA,321.18411289321267,322.3777748038782,255.07394409179688,16.212726593017578,367.715136858683,12.329479401395563,104,0.263,0.003140485427236341,8,183.13085627555847
Denmark Wind,Denmark,Wind,3,PSO,330.1129896527854,324.83468151122656,252.826904296875,15.536904335021973,367.715136858683,11.661324500746863,96,0.0255,0.004500649129807431,16,150.7348611354828
Denmark Wind,Denmark,Wind,3,CCO,324.74918206209543,334.53823118591396,261.1266784667969,16.230377197265625,367.715136858683,9.022447636013231,160,0.3821,0.0018429164907695582,8,204.5890748500824
Denmark Solar,Denmark,Solar,1,GA,42.59799421719437,77.50159083548705,62.25138473510742,44.68396759033203,58.22135830174353,-33.11539458392565,128,0.0779,0.000499966035272276,16,223.8851683139801
Denmark Solar,Denmark,Solar,1,PSO,43.50566257145442,99.96404138645306,81.20384216308594,77.43101501464844,58.22135830174353,-71.69651190267659,112,0.0749,0.0005947596067884221,8,312.7848131656647
Denmark Solar,Denmark,Solar,1,CCO,41.241579988185165,92.17587850476393,76.3528823852539,51.994651794433594,58.22135830174353,-58.31969777662089,152,0.0485,0.00034045058646494487,8,275.8518395423889
Denmark Solar,Denmark,Solar,2,GA,42.36206505429194,64.27213413729545,50.94862747192383,37.922603607177734,58.22135830174353,-10.392708126444937,120,0.1883,0.0005246644923675289,16,201.53784894943237
Denmark Solar,Denmark,Solar,2,PSO,53.61123302667665,114.3400646782439,94.00443267822266,62.66766357421875,58.22135830174353,-96.38852134925168,80,0.1121,0.009430297181876057,32,169.2832546234131
Denmark Solar,Denmark,Solar,2,CCO,50.696332846296684,107.1691538599727,87.20572662353516,63.791446685791016,58.22135830174353,-84.0718887122964,160,0.3152,0.006446423308781486,8,218.27105808258057
Denmark Solar,Denmark,Solar,3,GA,47.336318517405324,143.99493399291865,111.38056182861328,70.03643798828125,58.22135830174353,-147.32321298077048,144,0.1036,0.0030712398805985614,16,218.18110466003418
Denmark Solar,Denmark,Solar,3,PSO,49.079037817840316,130.27891503664358,113.027587890625,78.61248016357422,58.22135830174353,-123.76481558785994,152,0.4049,0.01,16,321.40710520744324
Denmark Solar,Denmark,Solar,3,CCO,44.81638428946773,114.30301269405588,87.01600646972656,49.459102630615234,58.22135830174353,-96.32488150080295,104,0.2314,0.0007665943124400128,8,236.23693823814392
